lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss_A,train_loss_R,train_loss_N,train_loss_D,train_loss_C,train_loss_Q,train_loss_E,train_loss_G,train_loss_H,train_loss_I,train_loss_L,train_loss_K,train_loss_M,train_loss_F,train_loss_P,train_loss_S,train_loss_T,train_loss_W,train_loss_Y,train_loss_V,train_loss_-,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss_A,val_loss_R,val_loss_N,val_loss_D,val_loss_C,val_loss_Q,val_loss_E,val_loss_G,val_loss_H,val_loss_I,val_loss_L,val_loss_K,val_loss_M,val_loss_F,val_loss_P,val_loss_S,val_loss_T,val_loss_W,val_loss_Y,val_loss_V,val_loss_-,val_loss
0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.7106264233589172,0.7256157994270325,0.7045667171478271,0.6926035284996033,0.6201819181442261,0.6778703927993774,0.467905730009079,0.49436628818511963,0.4552713930606842,0.4384720027446747,0.4428952932357788,0.4237637221813202,0.48818328976631165,0.45816686749458313,0.4408182203769684,0.4865240454673767,0.5036371946334839,0.4436565935611725,0.508496880531311,0.48081961274147034,0.44855797290802,0.535772979259491,0.4675619304180145,0.4524317979812622,0.47856268286705017,0.47539791464805603,0.4621712267398834,0.5179591774940491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.706545889377594,0.7318199872970581,0.6943181753158569,0.6835203170776367,0.6447279453277588,0.7017058730125427,0.48506367206573486,0.45820125937461853,0.49376845359802246,0.4511246979236603,0.44101205468177795,0.46799737215042114,0.44622349739074707,0.44316476583480835,0.45372000336647034,0.4567943215370178,0.5074494481086731,0.4632071256637573,0.5189725756645203,0.46371468901634216,0.44304001331329346,0.48445647954940796,0.4648767113685608,0.47746583819389343,0.4519907832145691,0.48136675357818604,0.4575466811656952,0.5175480842590332
5.0000000000000004e-08,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,0.7046986222267151,0.7628313899040222,0.684035062789917,0.7425512075424194,0.6559953093528748,0.756712794303894,0.4856199622154236,0.4772123694419861,0.4791131019592285,0.4182650148868561,0.4305291175842285,0.452484130859375,0.43704694509506226,0.4228978455066681,0.4489342272281647,0.463980108499527,0.5281215310096741,0.4639451205730438,0.5292635560035706,0.42843541502952576,0.404840886592865,0.5276175737380981,0.42694732546806335,0.49693113565444946,0.4528089165687561,0.5352516770362854,0.48189422488212585,0.522183895111084,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,0.699979305267334,0.7361063361167908,0.6700034737586975,0.6928220391273499,0.6230766773223877,0.7073853611946106,0.4795929491519928,0.44484037160873413,0.4710833728313446,0.45454952120780945,0.41570645570755005,0.4724203646183014,0.4245062470436096,0.4154679477214813,0.44373804330825806,0.43723636865615845,0.43637317419052124,0.43623533844947815,0.5364502668380737,0.47491952776908875,0.4465893805027008,0.4420450031757355,0.4446409046649933,0.46570220589637756,0.4551844000816345,0.4409312903881073,0.48454973101615906,0.5056347250938416,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.7003830075263977,0.7256830930709839,0.6801444888114929,0.6786208748817444,0.6328145861625671,0.6991727948188782,0.47561898827552795,0.4514389932155609,0.4842434227466583,0.43837621808052063,0.42530229687690735,0.4566323161125183,0.4421413242816925,0.4324389696121216,0.44098085165023804,0.45383933186531067,0.49780216813087463,0.45167645812034607,0.5075047016143799,0.4508059620857239,0.432830274105072,0.47818049788475037,0.44656434655189514,0.4662758708000183,0.4479011297225952,0.4734720289707184,0.452056884765625,0.508255660533905
1.0000000000000001e-07,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,0.6922019124031067,0.7086616158485413,0.6367762088775635,0.6616474986076355,0.6322792768478394,0.7022162675857544,0.4807553291320801,0.4732716381549835,0.46294164657592773,0.45703330636024475,0.4661465883255005,0.4837968647480011,0.4684721529483795,0.4125196039676666,0.4270990192890167,0.45374536514282227,0.4779346287250519,0.4576073884963989,0.4998685121536255,0.4029581844806671,0.43336451053619385,0.49659809470176697,0.4316782057285309,0.48978710174560547,0.47684234380722046,0.4687911570072174,0.44617101550102234,0.5074505805969238,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,0.7137882113456726,0.7054364085197449,0.6864053010940552,0.657654345035553,0.6153272986412048,0.6921156644821167,0.4445343017578125,0.41004541516304016,0.5214582085609436,0.42625200748443604,0.4031234681606293,0.46856921911239624,0.441725492477417,0.40267011523246765,0.4466969072818756,0.4271889626979828,0.4742290675640106,0.4379442632198334,0.5233691334724426,0.47109827399253845,0.41802874207496643,0.5149908065795898,0.4396666884422302,0.4369073808193207,0.3980955183506012,0.4693545699119568,0.44528308510780334,0.49970218539237976,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
