lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
0.0,0,,,,,,,,,,,,,,,
,23,0.6802627444267273,0.755747377872467,0.7923645377159119,0.6691771149635315,0.6543578505516052,0.7071316838264465,0.7098402380943298,0,,,,,,,
,23,,,,,,,,0,0.6871019005775452,0.7503678202629089,0.7897019386291504,0.6629719138145447,0.6362994313240051,0.7125577330589294,0.7065001130104065
1e-06,24,,,,,,,,,,,,,,,
,47,0.6487815380096436,0.7083789110183716,0.742814838886261,0.6247894763946533,0.5963631272315979,0.662885844707489,0.6640022993087769,1,,,,,,,
,47,,,,,,,,1,0.6355612874031067,0.7137143015861511,0.7330060005187988,0.6174464821815491,0.5735571980476379,0.6579649448394775,0.65520840883255
2e-06,48,,,,,,,,,,,,,,,
,71,0.593831479549408,0.6493812799453735,0.6835691332817078,0.5345997214317322,0.5184675455093384,0.563255786895752,0.5905174612998962,2,,,,,,,
,71,,,,,,,,2,0.5726044774055481,0.6571723818778992,0.6371997594833374,0.5252087116241455,0.48156285285949707,0.5457895398139954,0.5699229836463928
3e-06,72,,,,,,,,,,,,,,,
,95,0.5106677412986755,0.6192367672920227,0.519477128982544,0.41566044092178345,0.38011881709098816,0.42901158332824707,0.47902876138687134,3,,,,,,,
,95,,,,,,,,3,0.48569104075431824,0.6094797253608704,0.4708431363105774,0.39129638671875,0.34848952293395996,0.3973579704761505,0.45052632689476013
4e-06,96,,,,,,,,,,,,,,,
,119,0.4311278164386749,0.59001624584198,0.33277106285095215,0.27960726618766785,0.25832217931747437,0.28533241152763367,0.36286282539367676,4,,,,,,,
,119,,,,,,,,4,0.40345266461372375,0.5597140192985535,0.2900960147380829,0.24418993294239044,0.22763314843177795,0.25059938430786133,0.32928088307380676
5e-06,120,,,,,,,,,,,,,,,
,143,0.38230839371681213,0.5334367752075195,0.23358304798603058,0.21493804454803467,0.20746949315071106,0.2169698029756546,0.29811760783195496,5,,,,,,,
,143,,,,,,,,5,0.36341866850852966,0.5356221795082092,0.20878328382968903,0.188739612698555,0.1852448582649231,0.1874360293149948,0.2782074809074402
6e-06,144,,,,,,,,,,,,,,,
,167,0.37213462591171265,0.532459557056427,0.21176974475383759,0.18569810688495636,0.18927422165870667,0.19426925480365753,0.28093427419662476,6,,,,,,,
,167,,,,,,,,6,0.35076993703842163,0.5172103047370911,0.19199994206428528,0.17295683920383453,0.17141640186309814,0.1733318567276001,0.26294755935668945
7e-06,168,,,,,,,,,,,,,,,
,191,0.3654802739620209,0.5180510878562927,0.20887131989002228,0.19183576107025146,0.18760089576244354,0.19593816995620728,0.27796292304992676,7,,,,,,,
,191,,,,,,,,7,0.34170565009117126,0.4952985942363739,0.180933877825737,0.16500568389892578,0.15896371006965637,0.16279254853725433,0.25078335404396057
8e-06,192,,,,,,,,,,,,,,,
,215,0.3590037226676941,0.4912088215351105,0.21200169622898102,0.17812900245189667,0.17617513239383698,0.18224498629570007,0.2664605975151062,8,,,,,,,
,215,,,,,,,,8,0.3327399492263794,0.48637548089027405,0.17537616193294525,0.15628862380981445,0.15150651335716248,0.1551513373851776,0.2429063469171524
9e-06,216,,,,,,,,,,,,,,,
,239,0.33067888021469116,0.4833783209323883,0.17907728254795074,0.15354539453983307,0.15694335103034973,0.16287820041179657,0.24441689252853394,9,,,,,,,
,239,,,,,,,,9,0.3341567814350128,0.4728412628173828,0.16930894553661346,0.15217263996601105,0.14716672897338867,0.14812682569026947,0.23729553818702698
1e-05,240,,,,,,,,,,,,,,,
,263,0.33725211024284363,0.46709612011909485,0.18581992387771606,0.15055006742477417,0.15215133130550385,0.15146832168102264,0.24072298407554626,10,,,,,,,
,263,,,,,,,,10,0.32647714018821716,0.4633050262928009,0.1656782329082489,0.1474519819021225,0.14183925092220306,0.14270204305648804,0.23124228417873383
1.1e-05,264,,,,,,,,,,,,,,,
,287,0.33888235688209534,0.4636007249355316,0.17324334383010864,0.15217746794223785,0.14851915836334229,0.15177753567695618,0.23803341388702393,11,,,,,,,
,287,,,,,,,,11,0.32476720213890076,0.4503185749053955,0.15764133632183075,0.1379079520702362,0.13253870606422424,0.1323157399892807,0.22258161008358002
1.2e-05,288,,,,,,,,,,,,,,,
,311,0.34716540575027466,0.46751007437705994,0.17575210332870483,0.14276941120624542,0.14039143919944763,0.14088812470436096,0.2357460856437683,12,,,,,,,
,311,,,,,,,,12,0.312618613243103,0.42680487036705017,0.14851444959640503,0.13080915808677673,0.12153004109859467,0.12363734096288681,0.2106524109840393
1.3e-05,312,,,,,,,,,,,,,,,
,335,0.33444222807884216,0.44818946719169617,0.16326259076595306,0.14612767100334167,0.13976770639419556,0.14750298857688904,0.2298821210861206,13,,,,,,,
,335,,,,,,,,13,0.3176092803478241,0.44188547134399414,0.1471097320318222,0.1229681745171547,0.11857494711875916,0.11744365841150284,0.21093188226222992
1.4e-05,336,,,,,,,,,,,,,,,
,359,0.32614022493362427,0.43714988231658936,0.15650765597820282,0.1325642317533493,0.1275312751531601,0.12963972985744476,0.21825550496578217,14,,,,,,,
,359,,,,,,,,14,0.3155413568019867,0.43050962686538696,0.1374790221452713,0.11371351033449173,0.1040118932723999,0.10776577144861221,0.20150353014469147
1.5e-05,360,,,,,,,,,,,,,,,
,383,0.3122154474258423,0.43986639380455017,0.13836191594600677,0.11215639114379883,0.10716836899518967,0.11216334253549576,0.20365533232688904,15,,,,,,,
,383,,,,,,,,15,0.30978837609291077,0.425383597612381,0.12885886430740356,0.10309424251317978,0.0954752191901207,0.09800373762845993,0.19343401491641998
1.6e-05,384,,,,,,,,,,,,,,,
,407,0.3126826286315918,0.4253798723220825,0.14622896909713745,0.11479591578245163,0.10994376242160797,0.11305863410234451,0.20368163287639618,16,,,,,,,
,407,,,,,,,,16,0.3085825741291046,0.4295010268688202,0.1210721954703331,0.09511427581310272,0.08509458601474762,0.0895208939909935,0.18814758956432343
1.7000000000000003e-05,408,,,,,,,,,,,,,,,
,431,0.308572918176651,0.4360254406929016,0.13268429040908813,0.09691318869590759,0.09421093761920929,0.0953226238489151,0.19395491480827332,17,,,,,,,
,431,,,,,,,,17,0.30093875527381897,0.4255865216255188,0.11297738552093506,0.08334299921989441,0.0734834372997284,0.0754614770412445,0.1786317676305771
1.8e-05,432,,,,,,,,,,,,,,,
,455,0.329414039850235,0.4240606427192688,0.12121150642633438,0.09085362404584885,0.07531431317329407,0.08676229417324066,0.18793606758117676,18,,,,,,,
,455,,,,,,,,18,0.2913471758365631,0.41846510767936707,0.09737981855869293,0.06967740505933762,0.05729994177818298,0.06255383044481277,0.16612055897712708
1.9e-05,456,,,,,,,,,,,,,,,
,479,0.30026012659072876,0.41453272104263306,0.11286122351884842,0.0807267352938652,0.06913063675165176,0.07818780839443207,0.17594990134239197,19,,,,,,,
,479,,,,,,,,19,0.286305695772171,0.4119718670845032,0.09251051396131516,0.06038954108953476,0.050854142755270004,0.0547274611890316,0.15945985913276672
2e-05,480,,,,,,,,,,,,,,,
,503,0.2979360520839691,0.4159914255142212,0.11168735474348068,0.08035894483327866,0.07141631096601486,0.07294963300228119,0.17505662143230438,20,,,,,,,
,503,,,,,,,,20,0.2984899580478668,0.4153253436088562,0.09387928247451782,0.05903927981853485,0.04800787195563316,0.051050253212451935,0.16096533834934235
2.1000000000000002e-05,504,,,,,,,,,,,,,,,
,527,0.2890686094760895,0.396406888961792,0.10511457920074463,0.07368279993534088,0.06043509766459465,0.06993131339550018,0.1657732129096985,21,,,,,,,
,527,,,,,,,,21,0.28997960686683655,0.409521222114563,0.08954675495624542,0.05560903251171112,0.04433249682188034,0.04761996492743492,0.1561015099287033
2.2e-05,528,,,,,,,,,,,,,,,
,551,0.27746984362602234,0.4174345135688782,0.1000056192278862,0.06742479652166367,0.06652605533599854,0.06554283201694489,0.1657339334487915,22,,,,,,,
,551,,,,,,,,22,0.28505295515060425,0.406042218208313,0.08382022380828857,0.04989945888519287,0.038739558309316635,0.04295993968844414,0.1510857194662094
2.3e-05,552,,,,,,,,,,,,,,,
,575,0.3109215497970581,0.42072755098342896,0.10706745833158493,0.07453855872154236,0.06162286922335625,0.0709255114197731,0.17430059611797333,23,,,,,,,
,575,,,,,,,,23,0.2807914912700653,0.4020594358444214,0.08019527792930603,0.048360127955675125,0.038141679018735886,0.042752645909786224,0.1487167775630951
2.4e-05,576,,,,,,,,,,,,,,,
,599,0.2847464382648468,0.4143185615539551,0.10477377474308014,0.06718110293149948,0.05664847791194916,0.06261850893497467,0.1650478094816208,24,,,,,,,
,599,,,,,,,,24,0.2742766737937927,0.38975584506988525,0.08361226320266724,0.0490538589656353,0.03885874152183533,0.04369639605283737,0.14654231071472168
2.5e-05,600,,,,,,,,,,,,,,,
,623,0.27048182487487793,0.3698728680610657,0.09834421426057816,0.06898123770952225,0.061021462082862854,0.06730394810438156,0.15600092709064484,25,,,,,,,
,623,,,,,,,,25,0.27625128626823425,0.39582574367523193,0.07928905636072159,0.04659608379006386,0.03565226122736931,0.03815659508109093,0.1452951729297638
2.6e-05,624,,,,,,,,,,,,,,,
,647,0.2877871096134186,0.4006040692329407,0.10146912932395935,0.0605027936398983,0.053910113871097565,0.05630084499716759,0.160095676779747,26,,,,,,,
,647,,,,,,,,26,0.2772081792354584,0.3847177028656006,0.08076244592666626,0.046271901577711105,0.032431092113256454,0.03852757811546326,0.14331981539726257
2.7e-05,648,,,,,,,,,,,,,,,
,671,0.27986088395118713,0.39979055523872375,0.11266479641199112,0.06812074035406113,0.06016284227371216,0.0652080625295639,0.1643013209104538,27,,,,,,,
,671,,,,,,,,27,0.27884384989738464,0.39151379466056824,0.08211605995893478,0.047655075788497925,0.036954592913389206,0.03876296803355217,0.14597439765930176
2.8e-05,672,,,,,,,,,,,,,,,
,695,0.2837415933609009,0.3916580379009247,0.09307462722063065,0.058278974145650864,0.04819947108626366,0.05368396267294884,0.1547727882862091,28,,,,,,,
,695,,,,,,,,28,0.2740395665168762,0.3847106099128723,0.07857774943113327,0.044160209596157074,0.03406037762761116,0.0375475212931633,0.14218266308307648
2.9000000000000004e-05,696,,,,,,,,,,,,,,,
,719,0.26532721519470215,0.37363651394844055,0.08489323407411575,0.06281720846891403,0.053075917065143585,0.052426163107156754,0.14869605004787445,29,,,,,,,
