lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
0.0,0,,,,,,,,,,,,,,,
,93,0.6873170733451843,0.7494251728057861,0.7771701812744141,0.6750651001930237,0.6522713899612427,0.6932147145271301,0.7057439684867859,0,,,,,,,
,93,,,,,,,,0,0.6863789558410645,0.7519137859344482,0.787087619304657,0.6556819677352905,0.6301664710044861,0.6920769214630127,0.70055091381073
3e-07,94,,,,,,,,,,,,,,,
,187,0.6270641088485718,0.7049078345298767,0.731344997882843,0.6220285892486572,0.5775803923606873,0.607265830039978,0.6450319290161133,1,,,,,,,
,187,,,,,,,,1,0.6272919774055481,0.7020410299301147,0.7362421751022339,0.6026131510734558,0.561989426612854,0.6335635185241699,0.6439568996429443
6e-07,188,,,,,,,,,,,,,,,
,281,0.562949001789093,0.6473014950752258,0.6182678937911987,0.5077226758003235,0.4545772969722748,0.515016496181488,0.5509725213050842,2,,,,,,,
,281,,,,,,,,2,0.549812376499176,0.6434647440910339,0.5937754511833191,0.4826201796531677,0.45194804668426514,0.4956468641757965,0.5362113118171692
9e-07,282,,,,,,,,,,,,,,,
,375,0.47633159160614014,0.6162863969802856,0.42819473147392273,0.3570341467857361,0.33788514137268066,0.37745028734207153,0.43219703435897827,3,,,,,,,
,375,,,,,,,,3,0.4489422142505646,0.5939653515815735,0.39459243416786194,0.3322606682777405,0.30462461709976196,0.3313726484775543,0.40095967054367065
1.2e-06,376,,,,,,,,,,,,,,,
,469,0.3874751627445221,0.5275676250457764,0.2715703547000885,0.23840007185935974,0.23092301189899445,0.25341272354125977,0.31822484731674194,4,,,,,,,
,469,,,,,,,,4,0.38294246792793274,0.5421634316444397,0.24770250916481018,0.22607429325580597,0.2184852808713913,0.2284536510705948,0.30763694643974304
1.4999999999999998e-06,470,,,,,,,,,,,,,,,
,563,0.37965357303619385,0.5212389826774597,0.22285105288028717,0.20976950228214264,0.20635592937469482,0.19860805571079254,0.28974616527557373,5,,,,,,,
